stargazers_count,pushed_days_ago,created_days_ago,count_files,commits,ql,count_developers,count_methods,forks_count,origin,address,default_branch,updated_days_ago,exception,files,methods,is_sparql,n_sha_query,active_developers,active_files,active_methods,query_activity,query_commits
0,1357,1398,58.0,6.0,cypher,1.0,145.0,0,org.neo4j+neo4j-filename:pom.xml,rafaelornelas/MelhorCaminhoWS,master,1359,,58.0,145.0,0,2.0,1.0,0.0,1.0,0.3333333333333333,2.0
0,573,1204,1432.0,814.0,cypher,8.0,1091.0,0,org.neo4j+neo4j-filename:pom.xml,EBIBioSamples/biosamples-web,master,750,,1432.0,1091.0,0,,0.0,0.0,0.0,0.0,0.0
0,1167,1167,418.0,4.0,cypher,1.0,1433.0,0,org.neo4j+neo4j-filename:pom.xml,cxj110/YY,master,1167,,418.0,1433.0,0,,0.0,0.0,0.0,0.0,0.0
0,909,926,61.0,5.0,cypher,2.0,128.0,0,org.neo4j+neo4j-filename:pom.xml,leeWangel/lhh-neo4j,master,926,,61.0,128.0,0,1.0,1.0,0.0,6.0,0.2,1.0
0,860,946,165.0,51.0,sparql,4.0,230.0,0,org.eclipse.rdf4j+rdf4j-filename:pom.xml,flomic/semanticTechnologies,master,880,,165.0,230.0,1,24.0,3.0,0.0,7.0,0.47058823529411764,24.0
0,920,2737,3159.0,39.0,sparql,2.0,644.0,0,org.eclipse.rdf4j+rdf4j-filename:pom.xml,jkransen/treemarks,master,920,,3159.0,644.0,1,,0.0,0.0,0.0,0.0,0.0
0,1300,1364,574.0,55.0,cypher,2.0,564.0,0,org.neo4j+neo4j-filename:pom.xml,thadgholston/factory,master,1083,,574.0,564.0,0,,0.0,0.0,0.0,0.0,0.0
1,720,721,37046.0,7.0,sparql,3.0,11755.0,1,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,sunakshi96/testOER,master,179,,37046.0,11755.0,1,1.0,1.0,0.0,1.0,0.14285714285714285,1.0
0,750,750,10.0,2.0,cypher,1.0,12.0,0,org.neo4j+neo4j-extension:gradle,h-omer/graph-versioner-script,master,750,,10.0,12.0,0,1.0,1.0,0.0,1.0,0.5,1.0
0,300,313,44.0,5.0,cypher,2.0,173.0,1,org.neo4j+neo4j-filename:pom.xml,brunopacheco1/movies-neo4j,master,300,,44.0,173.0,0,,0.0,0.0,0.0,0.0,0.0
1,419,419,123.0,4.0,cypher,1.0,51.0,0,org.neo4j+neo4j-filename:pom.xml,avishekdas/applicationlandscape,master,33,,123.0,51.0,0,,0.0,0.0,0.0,0.0,0.0
0,835,835,54.0,3.0,cypher,1.0,187.0,0,org.neo4j+neo4j-filename:pom.xml,stachu12347/ConferenceDB,master,739,,54.0,187.0,0,,0.0,0.0,0.0,0.0,0.0
0,1472,1472,220.0,15.0,sparql,3.0,190.0,0,org.openrdf.sesame+sesame-filename:pom.xml & org.openrdf.sesame+sesame-queryresultio-sparqljson-filename:pom.xml & org.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.openrdf.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml,Jessyka/lena,master,1472,,220.0,190.0,1,4.0,2.0,0.0,3.0,0.26666666666666666,4.0
0,745,758,753.0,132.0,cypher,3.0,153.0,0,org.neo4j+neo4j-filename:pom.xml,flaps16/DatabaseFinalProject,master,758,,753.0,153.0,0,4.0,2.0,0.0,1.0,0.030303030303030304,4.0
0,2111,2111,685.0,3.0,sparql,1.0,330.0,0,org.apache.jena+jena-filename:build.xml,voenixjia/projects,master,2111,,685.0,330.0,1,,0.0,0.0,0.0,0.0,0.0
0,44,426,62.0,430.0,cypher,5.0,480.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,YuhanSun/GeoReach_Traverse,master,44,,62.0,480.0,0,7.0,1.0,0.0,2.0,0.01627906976744186,7.0
0,818,1169,2465.0,122.0,sparql,11.0,5799.0,0,org.apache.jena+jena-core-filename:ivy.xml & org.apache.jena+jena-arq-filename:ivy.xml & org.apache.jena+jena-filename:ivy.xml,IISH/mint-mint,master,819,,2465.0,5799.0,1,1.0,1.0,0.0,22.0,0.00819672131147541,1.0
0,534,889,128.0,152.0,sparql,1.0,136.0,1,org.apache.jena+jena-extension:gradle,trellis-ldp-archive/trellis-webac,master,171,,128.0,136.0,1,,0.0,0.0,0.0,0.0,0.0
0,1570,1636,2592.0,3097.0,sparql,23.0,6997.0,0,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,taverna-incubator/incubator-taverna-language,master,1570,,2592.0,6997.0,1,23.0,4.0,0.0,13.0,0.007426541814659348,23.0
0,1674,1679,31.0,9.0,cypher,1.0,24.0,0,org.neo4j+neo4j-filename:pom.xml,SmiddyPence/collatz,master,1679,,31.0,24.0,0,,0.0,0.0,0.0,0.0,0.0
0,1023,1023,11.0,3.0,cypher,1.0,7.0,0,org.neo4j+neo4j-filename:pom.xml,vincentduan/neo4j,master,1023,,11.0,7.0,0,2.0,1.0,0.0,3.0,0.6666666666666666,2.0
0,166,166,3084.0,3.0,sparql,2.0,11529.0,0,org.apache.jena+jena-filename:pom.xml,klamanu/LumeBasedStatistics-DSpace5.8,master,166,,3084.0,11529.0,1,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
0,1115,1764,141.0,25.0,cypher,4.0,764.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,nathanr123/SSlimitloginANNOTATION,master,1115,,141.0,764.0,0,,0.0,0.0,0.0,0.0,0.0
2,1553,1709,19.0,16.0,sparql,1.0,62.0,0,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,marek-dudas/LODSight,master,877,,19.0,62.0,1,4.0,1.0,0.0,4.0,0.25,4.0
0,50,50,39107.0,6023.0,cypher,23.0,7692.0,0,org.neo4j+neo4j-filename:pom.xml,chaitali02/myGdProject,master,50,,39107.0,7692.0,0,,0.0,0.0,0.0,0.0,0.0
1,877,899,13.0,10.0,cypher,1.0,69.0,0,org.neo4j+neo4j-filename:pom.xml,apollo629/sna-neo4j,master,876,,13.0,69.0,0,,0.0,0.0,0.0,0.0,0.0
2,34,114,1682.0,106.0,sparql,4.0,1134.0,0,org.apache.jena+jena-filename:pom.xml,malyvoj3/csvw-validator,master,34,,1682.0,1134.0,1,,0.0,0.0,0.0,0.0,0.0
0,324,378,116.0,18.0,cypher,4.0,110.0,0,org.neo4j+neo4j-filename:pom.xml,724399396/spring-learn,master,324,,116.0,110.0,0,,0.0,0.0,0.0,0.0,0.0
13,1955,2071,71.0,61.0,cypher,5.0,181.0,7,org.neo4j+neo4j-extension:gradle,technige/load2neo,master,1457,,71.0,181.0,0,,0.0,0.0,0.0,0.0,0.0
